scheme_name,min_sip,min_lumpsum,expense_ratio,fund_size_cr,fund_age_yr,fund_manager,sortino,alpha,sd,beta,sharpe,risk_level,amc_name,rating,category,sub_category,returns_1yr,returns_3yr,returns_5yr,1yr_return_rank,3yr_return_rank,5yr_return_rank,sortino_rank,alpha_rank,sd_rank,beta_rank,sharpe_rank,expense_rank
AXIS Banking & PSU Debt Fund,1000,5000,0.33,13953,10,Aditya Pagaria,2.78,3.83,1.5,1.62,1.11,3,Axis Mutual Fund,4,Debt,Banking and PSU Mutual Funds,4.5,6.4,7.2,418,207,207,375,578,144,737,292,590
AXIS Bluechip Fund,500,500,0.63,33049,10,Shreyash Devalkar,1.81,-5.97,15.76,0.89,0.9,6,Axis Mutual Fund,4,Equity,Large Cap Mutual Funds,-6.1,17.3,12.1,28,376,480,204,9,522,432,185,396
AXIS Children’s Gift Fund,1000,5000,1.06,685,7,Ashish Naik,2.34,-1.6,12.97,0.86,1.1,6,Axis Mutual Fund,0,Solution Oriented,Childrens Funds,-6.5,17.8,10.1,22,384,375,281,59,406,385,287,187
AXIS Corporate Debt Fund,1000,5000,0.22,3783,6,Devang Shah,2.88,2.46,2.06,0.67,1.28,3,Axis Mutual Fund,5,Debt,Corporate Bond Mutual Funds,4.9,7.5,7.3,457,264,219,398,451,193,175,374,687
AXIS Credit Risk Fund,1000,5000,0.81,620,9,Devang Shah,1.97,3.22,1.62,0.26,1.77,4,Axis Mutual Fund,4,Debt,Credit Risk Funds,5.4,7.4,6.8,540,262,171,223,541,156,21,690,299
AXIS Dynamic Bond Fund,1000,5000,0.26,1733,10,R Sivakumar,0.61,1.2,3.83,1.84,0.45,3,Axis Mutual Fund,2,Debt,Dynamic Bond,3.4,6.5,7.7,310,217,254,71,294,276,744,82,655
AXIS Equity Hybrid Fund,1000,500,0.89,1699,5,Ashish Naik,2.37,-1.88,13,0.87,1.09,6,Axis Mutual Fund,2,Hybrid,Aggressive Hybrid Mutual Funds,-4.9,17.4,,38,378,407,287,52,407,400,282,272
AXIS Equity Saver Fund,1000,500,0.88,978,8,R Sivakumar,2.39,0.66,7.52,1.16,1.19,4,Axis Mutual Fund,3,Hybrid,Equity Savings Mutual Funds,1.4,12.7,8.8,198,330,312,291,225,333,687,324,274
AXIS Flexi Cap Fund,500,500,0.7,10077,5,Shreyash Devalkar,1.77,-5.98,16.19,0.89,0.92,6,Axis Mutual Fund,4,Equity,Flexi Cap Funds,-8.3,17.9,12.3,18,385,493,200,8,561,432,193,353
AXIS Floater Fund,1000,5000,0.16,416,2,Aditya Pagaria,-,-,-,-,-,2,Axis Mutual Fund,2,Debt,Floater Mutual Funds,5.8,,,656,407,407,407,407,407,407,407,745
AXIS Focused 25 Fund,500,500,0.74,15139,10,Jinesh Gopani,1.44,-10.67,18.84,1.04,0.74,6,Axis Mutual Fund,2,Equity,Focused Funds,-14.7,14.8,8.9,3,355,321,154,2,723,662,140,337
AXIS FTP – Series 104 – 1112Days,0,0,0.13,110,4,Devang Shah,7.27,5.29,-,2.36,2.19,2,Axis Mutual Fund,0,Debt,Fixed Maturity Plans,11.2,14.5,14,762,349,582,788,652,407,758,784,768
AXIS FTP – Series 109 – 111Days,0,0,0,565,1,Devang Shah,-,-,-,-,-,3,Axis Mutual Fund,0,Debt,Fixed Maturity Plans,11.2,14.5,14,762,349,582,407,407,407,407,407,813
AXIS Gilt Fund,1000,5000,0.39,133,10,Devang Shah,1.15,1.09,2.87,0.56,0.6,3,Axis Mutual Fund,4,Debt,Gilt Mutual Funds,4,5.9,7.9,362,169,269,131,280,240,106,113,530
AXIS Gold Fund,1000,5000,0.17,290,10,Aditya Pagaria,1.07,-0.04,13.9,0.97,0.49,5,Axis Mutual Fund,4,Other,FoFs Domestic,14.5,12,13.7,794,315,574,122,139,429,577,97,736
AXIS Growth Opportunities Fund,1000,500,0.59,8053,4,Jinesh Gopani,2.64,1.19,17.3,0.91,1.28,6,Axis Mutual Fund,3,Equity,Large & Mid Cap Funds,-6.4,26.5,,23,574,407,342,292,665,472,374,422
AXIS Liquid Fund,0,500,0.15,27226,10,Devang Shah,4.54,1.41,0.38,0.78,0.96,2,Axis Mutual Fund,4,Debt,Liquid Mutual Funds,5.7,4.3,5.4,631,45,63,752,332,40,266,215,751
AXIS Long Term Equity Fund,500,500,0.85,28754,10,Jinesh Gopani,1.45,-9.98,18.65,1.02,0.75,6,Axis Mutual Fund,2,Equity,ELSS Mutual Funds,-11.1,15.7,9.4,10,363,346,155,3,717,653,141,290
AXIS Midcap Fund,500,500,0.57,18920,10,Shreyash Devalkar,2.98,-2.25,15.37,0.81,1.4,6,Axis Mutual Fund,5,Equity,Mid Cap Mutual Funds,-2.5,25.2,15.8,64,522,623,420,44,489,309,475,437
AXIS Money Market Fund,1000,5000,0.21,4002,4,Devang Shah,4.81,2.81,0.62,1.22,1.91,2,Axis Mutual Fund,4,Debt,Money Market Funds,5.6,5.4,,595,136,407,767,501,86,701,738,700
AXIS Nifty 100 Index Fund,1000,500,0.15,953,3,Ashish Naik,2.93,-1.76,16.66,0.99,1.24,6,Axis Mutual Fund,3,Other,Index Funds,-1.7,25.1,,81,517,407,411,56,620,610,345,751
AXIS Overnight Fund,0,500,0.05,12566,4,Aditya Pagaria,0.49,0.62,0.35,0.44,0.09,1,Axis Mutual Fund,4,Debt,Overnight Mutual Funds,5.4,3.9,,540,13,407,59,215,15,49,36,810
AXIS Regular Saver Fund,1000,500,0.86,407,10,Devang Shah,2.42,1.34,4.69,0.71,1.37,4,Axis Mutual Fund,3,Hybrid,Conservative Hybrid Mutual Funds,1.8,10.9,7,226,299,190,301,317,292,204,449,284
AXIS Retirement Savings Fund,1000,5000,0.6,270,3,Jinesh Gopani,1.58,-4.95,13.43,0.85,0.79,6,Axis Mutual Fund,2,Solution Oriented,Retirement Funds,-1.3,13.6,,88,340,407,168,14,415,364,152,413
AXIS Retirement Savings Fund,1000,5000,0.41,81,3,Jinesh Gopani,1.84,-0.04,5.69,0.83,1.04,5,Axis Mutual Fund,2,Solution Oriented,Retirement Funds,-2.5,10.3,,64,293,407,209,139,310,332,263,515
AXIS Retirement Savings Fund,1000,5000,0.65,633,3,Jinesh Gopani,1.56,-4.49,13.03,0.78,0.76,6,Axis Mutual Fund,1,Solution Oriented,Retirement Funds,-4.1,14,,45,345,407,163,24,408,266,142,383
AXIS Short Term Fund,1000,5000,0.3,7096,10,Devang Shah,2.78,4.6,1.61,1.78,1.38,3,Axis Mutual Fund,4,Debt,Short Duration Funds,4.9,6.9,7.4,457,239,230,375,609,152,742,454,619
AXIS Small Cap Fund,500,500,0.54,11462,9,Anupam Tiwari,3.9,8.34,14.71,0.66,2.06,6,Axis Mutual Fund,5,Equity,Small Cap Mutual Funds,3.4,34.5,19.4,310,721,635,675,706,454,170,770,452
AXIS Strategic Bond Fund,1000,5000,0.39,1644,10,Devang Shah,2.27,2.56,1.89,0.7,1.46,4,Axis Mutual Fund,4,Debt,Medium Duration Funds,5.2,7.4,7.4,496,262,230,267,460,183,193,524,530
AXIS Treasury Advantage Fund,1000,5000,0.29,4614,10,Devang Shah,3.73,3.09,0.87,1.17,1.75,2,Axis Mutual Fund,4,Debt,Low Duration Funds,5.3,5.9,6.6,520,169,153,649,529,126,689,680,628
AXIS Triple Advantage Fund,1000,500,0.72,1478,10,R Sivakumar,2.35,-2.21,13.44,0.91,1.08,6,Axis Mutual Fund,2,Hybrid,Multi Asset Allocation Mutual Funds,-5.1,18.1,10.4,37,389,387,283,45,416,472,275,346
AXIS Ultra Short Term Fund,1000,5000,0.31,4491,5,Aditya Pagaria,4.47,2.29,0.53,0.81,2.25,3,Axis Mutual Fund,4,Debt,Ultra Short Duration Funds,5.7,5.4,,631,136,407,749,434,72,309,786,609
Bandhan Asset Allocation FoF – Moderate – Direct Growth,100,1000,0.42,16,10,Sachin Relekar,2.27,0.73,6.59,0.43,1.31,5,Bandhan Mutual Fund,0,Other,FoFs Domestic,1.3,12.7,6.9,194,330,179,267,236,321,42,406,511
Bandhan FTP – Sr.179,0,5000,0.05,286,4,Harshal Joshi,0.9,9.78,3.98,5.4,0.64,3,Bandhan Mutual Fund,0,Debt,Fixed Maturity Plans,4.4,6.2,,404,193,407,98,731,280,772,119,810
Bank of India Arbitrage Fund,1000,5000,0.98,12,5,Alok Singh,-1.14,0.24,0.6,0.52,-0.78,1,Bank of India Mutual Fund,1,Hybrid,Arbitrage Mutual Funds,4.2,3.4,,383,4,407,3,163,83,84,2,230
Bank of India Balanced Advantage Fund,1000,5000,2.07,90,9,Alok Singh,1.81,-1.05,11.04,0.54,0.81,6,Bank of India Mutual Fund,2,Hybrid,Dynamic Asset Allocation or Balanced Advantage,13.6,12.1,5.1,783,317,37,204,79,364,95,157,5
Bank of India Conservative Hybrid Fund,1000,10000,2.2,63,10,Alok Singh,4.71,6.44,11.85,0.64,0.93,3,Bank of India Mutual Fund,4,Hybrid,Conservative Hybrid Mutual Funds,22.3,15.5,6.4,810,361,136,761,674,385,157,198,2
Bank of India Credit Risk Fund,0,5000,1.54,161,8,Alok Singh,0.91,-13.36,77.72,-31.86,0.38,4,Bank of India Mutual Fund,5,Debt,Credit Risk Funds,130.8,12.8,-4.1,814,333,1,99,1,790,1,64,58
Bank of India Large & Mid Cap Equity Fund,1000,5000,1.89,204,10,Nitin Gosar,2.66,1.7,15.55,0.88,1.4,6,Bank of India Mutual Fund,2,Equity,Large & Mid Cap Funds,2.7,25.6,9.5,273,534,351,348,369,505,417,475,10
Bank of India Liquid Fund,0,5000,0.18,403,10,Mithraem Bharucha,4.06,1.38,0.38,0.76,0.92,2,Bank of India Mutual Fund,4,Debt,Liquid Mutual Funds,5.7,4.3,5.3,631,45,45,697,324,40,246,193,728
Bank of India Manufacturing & Infrastr Fund,1000,5000,1.55,87,10,Nitin Gosar,3.23,12.2,16.3,0.54,1.8,6,Bank of India Mutual Fund,4,Equity,Sectoral / Thematic Mutual Funds,7.6,35.4,11.5,715,730,442,494,753,576,95,702,55
Bank of India Mid & Small Cap Equity & Debt Fund,1000,5000,1.92,380,7,Alok Singh,2.56,10.87,15.51,0.75,1.59,6,Bank of India Mutual Fund,4,Hybrid,Aggressive Hybrid Mutual Funds,-0.3,29.3,10.4,118,635,387,327,747,500,236,618,8
Bank of India Midcap Tax Fund,0,500,0.95,51,5,Dhruv Bhatia,2.64,3.13,17.03,0.87,1.38,6,Bank of India Mutual Fund,0,Equity,ELSS Mutual Funds,-4.1,27.1,10.6,45,593,396,342,534,653,400,454,244
Bank of India Midcap Tax Fund,0,500,0.56,26,4,Dhruv Bhatia,2.65,2.58,16.94,0.87,1.36,6,Bank of India Mutual Fund,0,Equity,ELSS Mutual Funds,-4.7,26,,42,554,407,346,465,645,400,440,445
Bank of India Overnight Fund,0,5000,0.17,82,3,Mithraem Bharucha,1.92,0.76,0.34,0.47,0.39,1,Bank of India Mutual Fund,5,Debt,Overnight Mutual Funds,5.5,4,,575,35,407,219,239,5,64,67,736
Bank of India Short Term Income – Direct Growth,1000,5000,0.98,72,10,Mithraem Bharucha,0.76,3.58,11.44,-0.99,0.43,2,Bank of India Mutual Fund,5,Debt,Short Duration Funds,28.3,8.8,4,813,280,15,86,560,372,9,77,230
Bank of India Small Cap Fund,1000,5000,1.52,414,4,Dhruv Bhatia,4.16,8.58,18.44,0.81,1.93,6,Bank of India Mutual Fund,4,Equity,Small Cap Mutual Funds,-1,47.7,,96,788,407,716,712,711,309,745,62
Bank of India Tax Advantage Fund,500,500,1.31,676,10,Alok Singh,2.88,3.48,16.3,0.89,1.5,6,Bank of India Mutual Fund,4,Equity,ELSS Mutual Funds,0.9,29,13.2,164,630,545,398,552,576,432,556,102
Bank of India Ultra Short Duration Fund,1000,5000,0.36,118,10,Mithraem Bharucha,2.16,2.06,0.52,1.12,1.07,3,Bank of India Mutual Fund,2,Debt,Ultra Short Duration Funds,5.2,4.7,5.7,496,83,89,246,409,70,680,273,560
Baroda BNP Paribas Aggressive Hybrid Fund,300,5000,0.61,772,6,Jitendra Sriram,2.79,1.88,11.77,0.79,1.39,6,Baroda BNP Paribas Mutual Fund,5,Hybrid,Aggressive Hybrid Mutual Funds,3.5,20.6,13.3,315,426,550,379,390,383,281,462,408
Baroda BNP Paribas Arbitrage Fund,300,5000,0.49,354,6,Neeraj Saxena,0.99,1.39,0.71,0.59,0.85,1,Baroda BNP Paribas Mutual Fund,3,Hybrid,Arbitrage Mutual Funds,5.2,4.6,5.6,496,79,82,112,327,103,124,169,476
Baroda BNP Paribas Balanced Advantage Fund,500,5000,0.64,3123,4,Sanjay Chawla,3.41,2.61,10.57,0.7,1.46,6,Baroda BNP Paribas Mutual Fund,4,Hybrid,Dynamic Asset Allocation or Balanced Advantage,3.7,19.8,,331,413,407,562,471,357,193,524,389
Baroda BNP Paribas Banking & PSU Bond Fund,500,5000,0.39,40,2,Prashant Pimple,-,-,-,-,-,2,Baroda BNP Paribas Mutual Fund,2,Debt,Banking and PSU Mutual Funds,2.5,,,263,407,407,407,407,407,407,407,530
Baroda BNP Paribas Banking&Fin Serv Fund,500,5000,1.63,69,10,Miten Vora,1.77,-2.87,22.87,0.89,0.82,6,Baroda BNP Paribas Mutual Fund,2,Equity,Sectoral / Thematic Mutual Funds,6.6,19.2,9.1,693,405,332,200,36,774,432,159,45
